,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
236,30373,1e-06,0.000000,0.000001,-492369521,12125,5.349993467330933
237,30375,1e-06,0.000000,0.000001,18582,8729092744,5.459830284118652
238,30376,1e-06,0.000000,0.000001,6281006284439289788,8646911284551352314,5.811287879943848
239,30377,1e-06,0.000000,0.000001,1308,28743390560518141,5.597035884857178
240,30378,1e-06,0.000000,0.000001,52,2486141277,5.656891822814941
241,30379,1e-06,0.000000,0.000001,-476657716244582,-371157649,5.479036808013916
242,30380,1e-06,0.000000,0.000001,-1,-5152117973711847420,5.554734468460083
243,30381,0.0,0.000000,0.000000,-4116,-725722890654652,5.76975154876709
244,30382,1e-06,0.000000,0.000001,27759251377954432,1,5.372206687927246
245,30385,1e-06,0.000000,0.000001,9,7232051234,4.819330453872681
246,30387,4e-06,0.000000,0.000004,0,1385952872,4.824189186096191
247,30388,1e-06,0.000000,0.000001,-353690422607870,-1297036692682702862,5.212297439575195
248,30390,1e-06,0.000000,0.000001,0,19549812640098,5.376952886581421
249,30392,1e-06,0.000000,0.000001,3746994889972252669,164104271,5.374141216278076
250,30393,0.0,0.000000,0.000000,-24445369965346814,42155351,5.3694233894348145
251,30395,1e-06,0.000000,0.000001,1,-342273571680157697,5.100561857223511
252,30399,1e-06,0.000000,0.000001,6043877978931199,-720575940379279359,5.769589185714722
253,30402,1e-06,0.000000,0.000001,0,-104938014,5.326625108718872
254,30404,1e-06,0.000000,0.000001,-1425788003405,-213554068024557,5.357016563415527
255,30405,1e-06,0.000000,0.000001,82753797944964,7379183732164395008,4.804765224456787
256,30406,1e-06,0.000000,0.000001,0,-576460752303423488,5.685393810272217
257,30408,1e-06,0.000000,0.000001,18210349448,81531948295520256,5.076518535614014
258,30409,1e-06,0.000000,0.000001,-6,4251,5.900895118713379
259,30412,1e-06,0.000000,0.000001,0,-144115188075855871,5.740469217300415
260,30413,0.0,0.000000,0.000000,0,0,5.7347071170806885
261,30414,1e-06,0.000000,0.000001,-7015654511738878,53862878180793,5.85127329826355
262,30417,1e-06,0.000000,0.000001,106344877301694464,-4111633,5.7310192584991455
263,30418,1e-06,0.000000,0.000001,-1,1134516894928167,5.210976600646973
264,30420,1e-06,0.000000,0.000001,0,-1,5.7394349575042725
265,30422,1e-06,0.000000,0.000001,12102823301456,-23099,5.257495880126953
266,30423,1e-06,0.000000,0.000001,-19165074207091,0,5.14662504196167
267,30424,0.0,0.000000,0.000000,3,-2515455785968,5.771798133850098
268,30428,1e-06,0.000000,0.000001,-26051251353087,-112730802619464,4.800455093383789
269,30429,1e-06,0.000000,0.000001,19746129323229183,1,5.757396221160889
270,30430,1e-06,0.000000,0.000001,492,0,5.460246324539185
271,30431,1e-06,0.000000,0.000001,-1,-63051435,5.475790023803711
272,30433,1e-06,0.000000,0.000001,0,1152921504606846975,5.415560722351074
273,30434,1e-06,0.000000,0.000001,8653528,-5476377146882523133,4.684635877609253
274,30437,0.0,0.000000,0.000000,0,0,5.2096922397613525
275,30438,1e-06,0.000000,0.000001,25522219,-6806650530248,5.050179719924927
276,30439,0.0,0.000000,0.000000,119,1,5.752477407455444
277,30440,1e-06,0.000000,0.000001,0,-1008806316530991104,4.708694696426392
278,30441,0.0,0.000000,0.000000,0,-728,4.870562791824341
279,30443,1e-06,0.000000,0.000001,4982448,-1297036692682702847,4.870664119720459
280,30444,1e-06,0.000000,0.000001,0,-1369329384104,5.490110635757446
281,30447,0.0,0.000000,0.000000,-6015,-54185,5.291761636734009
282,30450,1e-06,0.000000,0.000001,0,-2756959435950653441,5.572997093200684
283,30451,1e-06,0.000000,0.000001,-4195442701056,40896678592512,5.238588094711304
284,30454,0.0,0.000000,0.000000,1,0,5.7378480434417725
285,30455,1e-06,0.000000,0.000001,-55978335993331711,30388302368473088,5.787789583206177
286,30456,1e-06,0.000000,0.000001,-24693170529785843,0,5.8932859897613525
287,30457,1e-06,0.000000,0.000001,0,-24193846171904,5.573338031768799
288,30458,1.5e-05,0.000000,0.000015,1,0,5.7549779415130615
289,30459,0.0,0.000000,0.000000,658889698494,201328821186,5.487818717956543
290,30462,1e-06,0.000000,0.000001,-15197335110,-1,5.504505634307861
291,30463,1e-06,0.000000,0.000001,-391426139488256,1,4.939205169677734
292,30464,1e-06,0.000000,0.000001,480777417106615117,-2305843009213693951,5.718695878982544
293,30465,2e-06,0.000000,0.000002,17004,-2882303761517117438,5.939028978347778
294,30466,1e-06,0.000000,0.000001,-90705,-64185090783051771,5.429269313812256
295,30469,1e-06,0.000000,0.000001,1184,6415591699340,5.581953287124634
296,30470,1e-06,0.000000,0.000001,-1,2305843009213693951,5.725174903869629
297,30471,1e-06,0.000000,0.000001,-571717728,407397232,5.871267795562744
298,30472,1e-06,0.000000,0.000001,-486463997,1,5.7671897411346436
299,30473,1e-06,0.000000,0.000001,2818313835477,4035225266123964414,5.725327014923096
300,30474,1e-06,0.000000,0.000001,12182192,0,5.137692213058472
301,30476,1e-06,0.000000,0.000001,-2996600966,3680566795468537854,5.1143529415130615
302,30478,0.0,0.000000,0.000000,1223688486912,8214565720323784692,5.309088468551636
303,30479,7e-06,0.000000,0.000007,-14,0,5.759317636489868
304,30480,0.0,0.000000,0.000000,1,0,5.5096352100372314
305,30481,0.0,0.000000,0.000000,26218831882,-159799487,5.738758325576782
306,30482,2e-06,0.000000,0.000002,-1003154102381,-19932377863,5.785698175430298
307,30483,1e-06,0.000000,0.000001,-122,17391475388966,5.121092319488525
308,30484,0.0,0.000000,0.000000,-255389832582309,55437473138137,5.643763780593872
309,30485,1e-06,0.000000,0.000001,-1,-108327630779973630,5.382597208023071
310,30489,1e-06,0.000000,0.000001,-350350,93930374412,5.424407005310059
311,30491,1e-06,0.000000,0.000001,27141463527,1,5.766693353652954
312,30494,1e-06,0.000000,0.000001,392270744,-76056105511288830,5.161067247390747
313,30495,1e-06,0.000000,0.000001,1,70150,5.722731828689575
314,30496,1e-06,0.000000,0.000001,-260265425586974,13583764427,5.118589162826538
315,30497,1e-06,0.000000,0.000001,0,0,5.3210906982421875
316,30498,1e-06,0.000000,0.000001,2928507988895334371,1,5.734061002731323
317,30499,0.0,0.000000,0.000000,9479999,4875049839605317696,5.279355049133301
318,30500,1e-06,0.000000,0.000001,269866,195079319527687,5.265360116958618
319,30501,1e-06,0.000000,0.000001,7785690924905007,2161727821137838079,5.63817024230957
320,30502,1e-06,0.000000,0.000001,-368819939903012859,6479645399,5.641119480133057
321,30503,0.0,0.000000,0.000000,14685917213702,481471220938,5.104801893234253
322,30504,1e-06,0.000000,0.000001,-129277,-4035225266123964414,5.226094722747803
323,30505,1e-06,0.000000,0.000001,0,470023797,5.298327922821045
324,30506,1e-06,0.000000,0.000001,4826743277275316224,-936748722493063167,5.255325555801392
325,30508,1e-06,0.000000,0.000001,26388279066625,32339435,5.745067834854126
326,30512,1e-06,0.000000,0.000001,1425405,0,5.529628276824951
327,30513,1e-06,0.000000,0.000001,174224214490873855,-3105020836839425,5.405152082443237
328,30515,1e-06,0.000000,0.000001,-1455,1152921504606846976,5.697134256362915
329,30520,1e-06,0.000000,0.000001,7628937775173572,0,5.228061199188232
330,30525,1e-06,0.000000,0.000001,-1,-1,4.528212547302246
331,30526,1e-06,0.000000,0.000001,45512883605,-24,4.857189655303955
