,Seed,Errors
114,171,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
115,172,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
116,173,"Register allocation at line line 18 from line 183: variable  _7.170 must be allocated to conflicting register ZF.78
"
117,174,"WARNING: CAN NOT FIND IINFO 1
compilation error in functions f0 and f0 at position line -1: assembler error Not a (x)register
PLEASE REPORT
"
118,175,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 170 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
119,176,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 164 (8-10): typing error: the expression has type U128 instead of U128[5]
"
120,178,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
121,179,"WARNING: CAN NOT FIND IINFO 1
Register allocation at line line -1: variable  _7.152 must be allocated to conflicting register ZF.78
"
122,181,"WARNING: CAN NOT FIND IINFO 1
compilation error in functions f0 and f0 at position line -1: assembler error Invalid pexpr for word
PLEASE REPORT
"
123,185,"compilation error in functions f0 and f0 at position line 12: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
124,186,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 70 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
125,187,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 42 (8-10): variable v5.104 is an array (function return)
"
126,188,"Register allocation: no register bank for type int
"
127,189,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v1.92 is an array (function return)
"
128,190,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v1.92 is an array (function return)
"
129,191,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (38-39): parse error
"
130,192,"compilation error in functions main and main at position line 16 from line 29: err arr exp 
(U128[v1.127 1] * v2.129) and (v1#1.133 * v2.129)
PLEASE REPORT
"
131,193,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (23-25): typing error: can not implicitly cast U128[5] into U64
"
132,196,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
133,197,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 8 (8-10): typing error: the expression has type U64 instead of U64[5]
"
134,199,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 9 (23-25): typing error: can not implicitly cast U16[5] into U64
"
135,202,"WARNING: CAN NOT FIND IINFO 1
compilation error in functions f0 and f0 at position line 12: assembler error Invalid pexpr for word
PLEASE REPORT
"
136,203,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 10 (23-25): typing error: can not implicitly cast U256[5] into U64
"
137,204,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 10 (23-25): typing error: can not implicitly cast U64[5] into U64
"
138,205,"Register allocation at line line 9 from line 27: variable v6.166 must be allocated to conflicting register ZF.78
"
